hgnc_id	GEP	GCN	MUT	CNS
HGNC:16703	-1	3	3	-1
HGNC:16704	-1	0	3	-1
HGNC:16732	1	0	3	1
HGNC:16753	3	3	3	3
HGNC:16789	-1	3	3	-1
HGNC:16815	-1	3	3	-1
HGNC:16832	3	3	3	3
HGNC:16872	3	3	3	3
HGNC:16906	2	3	3	2
HGNC:16940	1	3	3	1
HGNC:16977	-1	3	3	-1
HGNC:16985	3	3	3	3
HGNC:17	-1	3	3	-1
HGNC:17027	-1	3	3	-1
HGNC:17038	-1	3	3	-1
HGNC:1712	-1	3	3	-1
HGNC:17123	-1	3	3	-1
HGNC:17144	1	3	3	1
HGNC:17174	1	3	3	1
HGNC:17175	-1	3	3	-1
HGNC:17194	0	3	3	3
HGNC:17198	1	0	3	1
HGNC:17223	-1	3	3	-1
HGNC:17245	-1	3	3	-1
HGNC:17269	-1	3	3	-1
HGNC:17287	1	3	3	1
HGNC:17296	1	3	3	1
HGNC:17313	2	3	3	2
HGNC:17325	-1	3	3	-1
HGNC:17345	-1	3	3	-1
HGNC:17358	-1	3	3	-1
HGNC:17366	-1	3	3	-1
HGNC:17376	2	3	3	2
HGNC:17422	-1	3	3	-1
HGNC:17423	1	3	3	1
HGNC:17432	-1	3	3	-1
HGNC:17449	-1	3	3	-1
HGNC:17450	-1	3	3	-1
HGNC:17579	2	3	3	2
HGNC:1769	2	3	3	2
HGNC:177	-1	3	3	-1
HGNC:17720	2	3	3	2
HGNC:17729	1	0	3	1
HGNC:17804	-1	3	3	-1
HGNC:17818	-1	3	3	-1
HGNC:17819	-1	3	3	-1
HGNC:17820	1	3	3	1
HGNC:17822	3	0	3	3
HGNC:17827	-1	3	3	-1
HGNC:17836	-1	3	3	-1
HGNC:17852	1	3	3	1
HGNC:17855	-1	3	3	-1
HGNC:17856	1	3	3	1
HGNC:17877	1	3	3	1
HGNC:17890	-1	3	3	-1
HGNC:179	1	3	3	1
HGNC:17929	-1	3	3	-1
HGNC:17934	-1	0	3	-1
HGNC:1795	-1	3	3	-1
HGNC:17964	2	3	3	2
HGNC:17968	-1	3	3	-1
HGNC:17973	-1	3	3	-1
HGNC:17978	2	3	3	2
HGNC:17996	-1	3	3	-1
HGNC:180	-1	3	3	-1
HGNC:1800	-1	3	3	-1
HGNC:1801	1	3	3	1
HGNC:18044	-1	3	3	-1
HGNC:18049	-1	0	3	-1
HGNC:18057	-1	3	3	-1
HGNC:18062	2	3	3	2
HGNC:18068	-1	3	3	-1
HGNC:18070	-1	3	3	-1
HGNC:18080	-1	3	3	-1
HGNC:18120	-1	3	3	-1
HGNC:18125	-1	0	3	-1
HGNC:18149	-1	3	3	-1
HGNC:18155	1	3	3	1
HGNC:18161	-1	3	3	-1
HGNC:18168	-1	3	3	-1
HGNC:18170	3	3	3	3
HGNC:18175	2	3	3	2
HGNC:18210	-1	0	3	-1
HGNC:18264	-1	3	3	-1
HGNC:18265	-1	3	3	-1
HGNC:18266	-1	3	3	-1
HGNC:18281	1	3	3	1
HGNC:18290	3	3	3	3
HGNC:18303	2	3	3	2
HGNC:18308	1	3	3	1
HGNC:18324	2	3	3	2
HGNC:18360	2	3	3	2
HGNC:18407	-1	3	3	-1
HGNC:18431	2	0	3	2
HGNC:18449	2	3	3	2
HGNC:1848	-1	3	3	-1
HGNC:18481	-1	3	3	-1
HGNC:18540	-1	3	3	-1
HGNC:18554	1	0	3	1
HGNC:18590	-1	3	3	-1
HGNC:18596	-1	0	3	-1
HGNC:186	2	0	3	2
HGNC:18606	-1	3	3	-1
HGNC:1864	1	3	3	1
HGNC:18704	3	3	3	3
HGNC:18761	1	3	3	1
HGNC:18762	-1	3	3	-1
HGNC:18799	-1	3	3	-1
HGNC:18811	-1	3	3	-1
HGNC:1884	-1	3	3	-1
HGNC:18857	-1	3	3	-1
HGNC:18859	-1	3	3	-1
HGNC:18871	-1	3	3	-1
HGNC:18966	1	3	3	1
HGNC:18985	3	3	3	3
HGNC:18987	0	3	3	3
HGNC:19	-1	3	3	-1
HGNC:1907	-1	3	3	-1
HGNC:19080	-1	3	3	-1
HGNC:19119	-1	3	3	-1
HGNC:1912	-1	0	3	-1
HGNC:19129	3	3	3	3
HGNC:19133	-1	3	3	-1
HGNC:19134	-1	3	3	-1
HGNC:19218	-1	3	3	-1
HGNC:19237	2	3	3	2
HGNC:19256	2	0	3	2
HGNC:19288	-1	3	3	-1
HGNC:19342	-1	3	3	-1
HGNC:19343	-1	3	3	-1
HGNC:1936	-1	3	3	-1
HGNC:19365	2	3	3	2
HGNC:19366	1	3	2	1
HGNC:1937	2	0	3	2
HGNC:1938	1	3	3	1
HGNC:19419	-1	3	3	-1
HGNC:19660	1	3	3	1
HGNC:19661	-1	3	2	-1
HGNC:19685	3	3	3	3
HGNC:19686	3	3	3	3
HGNC:1969	-1	3	3	-1
HGNC:19691	1	0	3	1
HGNC:1970	-1	3	3	-1
HGNC:19708	-1	3	3	-1
HGNC:1971	1	3	3	1
HGNC:1972	-1	0	3	-1
HGNC:19721	2	3	3	2
HGNC:1973	-1	3	3	-1
HGNC:19748	-1	3	3	-1
HGNC:19873	1	3	3	1
HGNC:19875	2	3	3	2
HGNC:19877	-1	3	3	-1
HGNC:1991	3	3	3	3
HGNC:1994	-1	3	3	-1
HGNC:1995	1	3	3	1
HGNC:19953	-1	0	3	-1
HGNC:19954	2	3	3	2
HGNC:1996	-1	3	3	-1
HGNC:19975	-1	0	3	-1
HGNC:19977	-1	3	3	-1
HGNC:19978	1	3	3	1
HGNC:19979	-1	3	3	-1
HGNC:19980	3	3	3	3
HGNC:20091	-1	3	3	-1
HGNC:20093	-1	0	3	-1
HGNC:20113	-1	3	3	-1
HGNC:20123	-1	3	3	-1
HGNC:2014	-1	3	3	-1
HGNC:20151	-1	3	3	-1
HGNC:20197	1	3	3	1
HGNC:20233	-1	3	3	-1
HGNC:20244	-1	3	3	-1
HGNC:20263	-1	3	3	-1
HGNC:20305	-1	3	3	-1
HGNC:20324	1	3	3	1
HGNC:20371	-1	3	3	-1
HGNC:20372	3	3	3	3
HGNC:20460	-1	3	3	-1
HGNC:20461	1	3	3	1
HGNC:20567	1	3	3	1
HGNC:20581	-1	3	3	-1
HGNC:20583	-1	3	1	-1
HGNC:20584	1	3	3	1
HGNC:20661	1	3	3	1
HGNC:20667	1	3	3	1
HGNC:20675	-1	3	3	-1
HGNC:20692	-1	3	3	-1
HGNC:20728	1	3	3	1
HGNC:2073	2	3	3	2
HGNC:20739	-1	3	3	-1
HGNC:20779	-1	3	3	-1
HGNC:20797	2	3	3	2
HGNC:20799	2	3	3	2
HGNC:20800	1	3	3	1
HGNC:20837	1	3	3	1
HGNC:20880	2	3	3	2
HGNC:20885	-1	3	3	-1
HGNC:20886	2	3	3	2
HGNC:20910	1	3	3	1
HGNC:2097	-1	3	3	-1
HGNC:20989	-1	3	3	-1
HGNC:21016	-1	0	-1	-1
HGNC:21055	2	3	3	2
HGNC:21063	-1	3	3	-1
HGNC:21065	-1	3	3	-1
HGNC:21088	1	3	3	1
HGNC:21285	-1	3	3	-1
HGNC:21298	1	3	3	1
HGNC:21308	3	0	3	3
HGNC:21328	-1	3	3	-1
HGNC:21350	3	3	3	3
HGNC:21359	-1	3	3	-1
HGNC:21385	-1	3	3	-1
HGNC:21474	2	3	3	2
HGNC:21481	-1	3	3	-1
HGNC:21497	2	0	3	2
HGNC:21526	-1	3	3	-1
HGNC:21531	-1	3	3	-1
HGNC:2158	1	3	3	1
HGNC:21597	1	3	3	1
HGNC:21705	3	3	3	3
HGNC:21727	-1	3	3	-1
HGNC:21755	-1	3	3	-1
HGNC:2205	1	3	3	1
HGNC:22146	-1	3	3	-1
HGNC:22204	1	3	3	1
HGNC:2228	2	3	3	2
HGNC:2244	1	3	3	1
HGNC:2265	3	3	3	3
HGNC:2267	3	3	3	3
HGNC:2269	3	0	3	3
HGNC:2277	3	3	3	3
HGNC:2279	-1	3	3	-1
HGNC:2280	3	3	3	3
HGNC:2285	3	3	3	3
HGNC:2287	-1	0	3	-1
HGNC:2288	3	3	3	3
HGNC:2289	2	3	3	2
HGNC:2291	3	3	3	3
HGNC:2292	3	3	3	3
HGNC:22921	-1	3	3	-1
HGNC:22923	1	3	3	1
HGNC:22932	0	3	3	3
HGNC:2294	3	3	3	3
HGNC:22946	-1	3	3	-1
HGNC:2295	-1	3	3	-1
HGNC:2296	-1	3	3	-1
HGNC:2297	-1	3	3	-1
HGNC:23	-1	3	3	-1
HGNC:23061	-1	3	3	-1
HGNC:23087	1	3	3	1
HGNC:23089	-1	3	3	-1
HGNC:23090	1	3	3	1
HGNC:23091	-1	3	3	-1
HGNC:23096	-1	3	3	-1
HGNC:23097	-1	3	3	-1
HGNC:23155	-1	3	3	-1
HGNC:23157	1	3	3	1
HGNC:23160	2	3	3	2
HGNC:23161	2	3	3	2
HGNC:23162	-1	3	3	-1
HGNC:23198	-1	2	3	-1
HGNC:232	-1	3	3	-1
HGNC:2321	2	3	3	2
HGNC:23213	2	3	3	2
HGNC:23215	-1	3	3	-1
HGNC:2323	1	3	3	1
HGNC:23242	-1	3	3	-1
HGNC:23248	-1	3	3	-1
HGNC:2328	1	3	3	1
HGNC:23287	1	3	3	1
HGNC:2329	-1	3	3	-1
HGNC:233	-1	3	2	-1
HGNC:2330	1	3	3	1
HGNC:23302	1	3	3	1
HGNC:23364	2	3	3	2
HGNC:234	1	3	3	1
HGNC:23408	1	3	3	1
HGNC:2342	3	3	3	3
HGNC:23487	-1	3	3	-1
HGNC:235	-1	3	3	-1
HGNC:23506	1	3	3	1
HGNC:236	-1	3	3	-1
HGNC:23614	-1	3	3	-1
HGNC:23657	2	3	3	2
HGNC:2366	1	3	2	1
HGNC:237	1	3	3	1
HGNC:23764	-1	3	3	-1
HGNC:23785	1	0	3	1
HGNC:23786	2	3	3	2
HGNC:238	-1	3	3	-1
HGNC:239	-1	3	3	-1
HGNC:23987	2	3	3	2
HGNC:240	-1	3	3	-1
HGNC:24104	-1	0	3	-1
HGNC:24139	-1	3	3	-1
HGNC:24141	-1	3	1	-1
HGNC:24157	3	3	3	3
HGNC:24174	-1	3	3	-1
HGNC:2422	3	0	3	3
HGNC:24240	-1	3	3	-1
HGNC:24247	-1	3	3	-1
HGNC:24262	-1	3	-1	-1
HGNC:24269	2	3	3	2
HGNC:24288	-1	3	3	-1
HGNC:24289	1	0	3	1
HGNC:24290	-1	3	3	-1
HGNC:24291	2	0	3	2
HGNC:24292	1	3	3	1
HGNC:24293	-1	3	3	-1
HGNC:24337	1	3	3	1
HGNC:24380	-1	3	3	-1
